,Nume,Pret,Clasa,Review,Discount
43,"Frigider cu doua usi Arctic AD54240+, 223 l, Clasa A+, H 145.8 cm, Alb",949.9,A+,46,0.3
44,"Frigider cu doua usi Heinner HF-205A+, 205 l, Clasa A+, Iluminare LED, H 143.4 cm, Alb",899.9,A+,4,0.3
45,"Frigider cu doua usi NEO BCD-295 DSSA+, clasa A+, inox, 224 l, dozator apa, H 170 cm",1399.9,A+,1,0.3
46,"Frigider cu o usa Star-Light FTTM-113APPSS, 113 l, Clasa A++, H 84.5 cm, Gri/Inox",649.99,A++,156,0.3
47,"Frigider cu 2 usi Beko RDNE505E30ZXB, 450 litri, NoFrost, Touch Control, Clasa A++, H 185 cm, Argintiu",1957.99,A++,3,0.3
48,"Frigider cu 2 usi Hotpoint ENTM18210VW, 414 l, Clasa A+, alb",1539.99,A+,27,0.3
49,"Frigider cu o usa incorporabil Whirlpool ARG 18081, 318 l, Clasa A++, 6th Sense, H 177.1 cm",2549.99,A++,0,0.3
50,"Frigider cu doua usi LG GTB744PZHZD, 506 l, Clasa A++, No Frost, Compresor Inverter Linear, Display Extern, Smart ThinQ, H 180 cm, Inox",3399.9,A++,7,0.3
51,"Frigider cu o usa Arctic FB125+, 114 l, Clasa A+, H 84 cm, Alb",749.99,A+,17,0.3
52,"Frigider cu doua usi Hansa FD207.4, 138 l, Clasa A+, Control mecanic, H 129 cm, Alb",779.99,A+,5,0.3
53,"Frigider cu doua usi Heinner HF-V240A+, 240 l, Clasa A+, Less Frost, Control mecanic, H 160 cm, Alb",899.99,A+,2,0.3
54,"Frigider cu doua usi Heinner HF-270A+, 270 l, Clasa A+, H 170 cm, Alb",979.99,A+,8,0.3
55,"Frigider cu doua usi Midea HD-520FWENW, 371l, Clasa A+, Total No frost, Dozator Apa, H 171,2cm, Inox",1549.99,A+,1,0.3
56,"Frigider cu doua usi Heinner HF-M207A+, 204 l, Clasa A+, Iluminare LED, Control mecanic, H 144 cm, Alb",779.99,A+,1,0.3
57,"Frigider cu doua usi Indesit TIAA 12.1, 306 l, Clasa A+, H 175, Alb",1139.0,A+,5,0.3
58,"Frigider cu doua usi Liebherr CT 2931, 270 l, Clasa A++, SmartFrost, VarioSpace, H 157.1 cm, Alb",1499.9,A++,7,0.3
59,"Frigider cu doua usi MIDEA HD-554FWENWH, 410l, Total No Frost, Dozator Apa, Clasa A+, H 173 cm, Alb",1699.99,A+,0,0.3
60,"Frigider cu o usa Heinner HF-V250A+, 250 l, Clasa A+, Control mecanic, H 144 cm, Alb",969.99,A+,1,0.44
61,"Frigider cu doua usi MIDEA HD-554FWEN, 410l, Total No Frost, Dozator Apa, Clasa A+, H 173 cm, Inox",1899.99,A+,0,0.44
62,"Frigider cu o usa incorporabil Bosch KIF51AF30, 222 l, Clasa A++, FreshSense, H 140 cm",2799.99,A++,2,0.44
63,"Frigider cu doua usi NEO BCG-260 DBA+, clasa A+, 205 l, dozator apa, H 143 cm",1149.99,A+,2,0.44
64,"Frigider cu o usa Arctic AF54250+, 221 l, Clasa A+, H 144 cm, Alb",899.99,A+,1,0.44
65,"Frigider cu o usa Daewoo FN-146, 122 l, Clasa A+, H 85.8 cm, Alb",699.99,A+,11,0.44
66,"Frigider cu doua usi Indesit RAA 24N, 217 l, Clasa A+, H 140, Alb",1069.99,A+,4,0.44
67,"Frigider cu doua usi MIDEA HD-463FWEN, 340l, Clasa A+, Total No Frost, H 175, Inox",1399.99,A+,0,0.44
68,"Frigider cu 2 usi Bosch KDN53VL20, 454 l, No Frost, IceTwister, Iluminare LED, VitaFresh, Clasa A+, H 186 cm, Inox",3059.99,A+,0,0.44
69,"Frigider cu o usa Bosch KSV36AI3P, 348 L , Clasa A++, FreshSense, Iluminare LED, H 186 cm, Inox",3099.99,A++,1,0.44
70,"Frigider cu o usa Daewoo FN-153, 124 l, Clasa A+, H 91.5 cm, Rosu",999.99,A+,21,0.44
71,"Frigider cu doua usi NEI MRF-142, Clasa A+, 138 L, H 128 cm, Inox",849.99,A+,6,0.44
72,"Frigider minibar Heinner HMB-47NHA+, 47 l, Clasa A+, H 51.3 cm, Alb",419.99,A+,19,0.44
73,"Frigider cu doua usi Liebherr CTel 2931, 270 l, SmartFrost, VarioSpace, Clasa A++, H 157.1 cm, Inox",1499.99,A++,0,0.44
74,"Frigider cu doua usi NEO BCG-260 DSA+, clasa A+, 205 l, dozator apa, H 143 cm",1149.99,A+,0,0.44
75,"Frigider cu doua usi Heinner HF-V213A+, 213 l, Clasa A+, Control mecanic, H 144 cm, Alb",899.99,A+,1,0.44
76,"Frigider cu o usa incorporabil Liebherr Confort IK 3520, 325 l, Clasa A++, SuperCool, H 177 cm",3299.99,A++,2,0.44
77,"Frigider minibar Samus SW060A+, Clasa A+, Capacitate 44 litri, 3 Ani garantie, Alb",369.99,A+,20,0.44
78,"Frigider minibar LDK BC 68, Clasa A+, Capacitate 63 L, H 62 cm, Alb",439.91,A+,7,0.44
79,"Frigider cu doua usi Candy CMDDS 5142W, 204 L, Clasa A+, H 143 cm, Argintiu",999.99,A+,0,0.44
80,"Frigider cu doua usi Indesit TIAA 12X, 306 l, Clasa A+, H 175 cm, Inox",1339.99,A+,0,0.44
81,"Frigider cu doua usi Heinner HF-H425NFXA+, 425 L, Full No Frost, Clasa A+, H 177cm, Inox",1779.99,A+,0,0.44
82,"Frigider cu doua usi Samsung RT38K5530S9/EO, 384 l, Clasa A+, No Frost, H 178.5, Inox",1749.99,A+,82,0.44
83,"Frigider cu doua usi Liebherr Confort CT 3306, 236 l, Clasa A+, H 175 cm, Alb",1699.99,A+,12,0.44
84,"Frigider cu doua usi Daewoo FN-510DWC, 507 l, Clasa A+, Full No Frost, Iluminare LED, H 183.4 cm, Alb",2699.99,A+,0,0.44
85,"Frigider cu o usa Heinner HF-N91A+, 91 l, Clasa A+, Iluminare LED, H 84.2 cm, Alb",508.99,A+,1,0.44
86,"Frigider cu doua usi Daewoo FN-56BNSS, 558 l, Clasa A++, Full No Frost, Iluminare LED, H 177 cm, Argintiu",3399.99,A++,1,0.44
87,"Combina frigorifica Teka RLF 74925 SS, Free Standing, 2 usi, No frost, 334 l, A++, inox",5499.0,lipsa,0,0.44
88,"Frigider cu doua usi MIDEA HD-606FWEN, 463l, Total No Frost, Dozator Apa, Clasa A+, H 188 cm, Inox",1999.99,A+,0,0.44
89,"Frigider Gorenje VW TRANSPORTER T1 OBRB153RL, 230 l, Clasa A+++, H 154 cm, Rosu",5699.99,A+++,0,0.44
90,"Frigider cu doua usi Crown CBN-320DIX, Full No Frost, clasa A+, 318 l, dozator apa, H 185 cm, inox",1899.0,A+,0,0.44
91,"Frigider Electrolux ERF4116AOX, 395 litri, H 185, Clasa A++, Inox antiamprenta",2695.35,A++,1,0.44
92,"Frigider Gorenje VW TRANSPORTER T1 OBRB153BL, 230 l, Clasa A+++, H 154 cm, Albastru",5549.99,A+++,1,0.44
93,"Frigider cu o usa Daewoo FN-15B3RN1, 115 litri, H 87 cm, Clasa A++, Sticla alba",599.0,A++,0,0.44
94,"Frigider cu doua usi AEG RDB72721AX, 259 l, Clasa A++, H 159 cm, Inox antiamprenta",1779.99,A++,0,0.44
95,"Frigider cu o usa Zanussi ZRG16605WA, 153 l, Clasa A+, H 85 cm, Alb",899.99,A+,6,0.44
96,"Frigider cu o usa Daewoo FN-102PRQ, 79 l, Clasa A+, H 71, Rosu",949.99,A+,4,0.44
97,"Frigider Albatros FA11+, 82 l, Clasa A+, H 84 cm, 3 Ani garantie, Alb",519.99,A+,19,0.44
98,"Frigider cu o usa Daewoo FN-15A2RNB, 118 l, Clasa A+, H 88 cm, Sticla neagra",949.99,A+,0,0.44
99,"Frigider cu o usa Miele K 28202SD, 381 l, Clasa A++, DynaCool, Iluminare LED, H 185 cm, Argintiu",4699.99,A++,2,0.44
100,"Frigider cu o usa incorporabil Bosch KIR31AF30, 172 l, Clasa A++, Control Touch, FreshSense, H 102.5 cm",2698.26,A++,0,0.44
101,"Frigider cu doua usi NEI MRF-262D ix, SmartFrost, clasa A+, 262 l, dozator apa, H 176 cm, inox",1499.0,A+,0,0.44
102,"Frigider minibar Crown CM-50B, capacitate 50l, usa de sticla, clasa A+, H 51 cm, negru",549.9,A+,1,0.44
103,"Frigider incorporabil Electrolux ERN3211AOW, 319 l, Clasa A+, H 177 cm",2399.99,A+,4,0.44
104,"Frigider cu doua usi MIDEA HD-606FWENWH, 463l, Total No Frost, Dozator Apa, Clasa A+, H 188 cm, Alb",2049.99,A+,0,0.44
105,"Frigider minibar LDK BC 50, Clasa A+, Capacitate 52 L, H 48.7 cm, Alb",374.91,A+,4,0.44
106,"Frigider minibar Crown CM-68B, capacitate 68l, usa de sticla, clasa A+, H 59 cm, negru",649.89,A+,0,0.44
107,"Pachet Frigider cu doua usi Arctic AD54240P+, 223 l, Clasa A+, H 146.5, Alb si Set 7 caserole alimente cu capac Vanora, patrate, plastic",839.99,A+,1,0.44
108,"Frigider cu doua usi Heinner HF-M207BKA+, 204 l, Clasa A+, Iluminare LED, Control mecanic, H 144 cm, Negru",899.99,A+,0,0.44
109,"Frigider Albatros FA15+, 115 litri, 3 Ani garantie, H 84 cm, Alb",599.99,lipsa,29,0.44
110,"Frigider cu doua usi NEO BCD-295 DA+, clasa A+, alb, 224 l, dozator apa, H 170 cm",1374.9,A+,0,0.44
111,"Frigider cu doua usi Whirlpool W55TM 4110 W, 213 l, Clasa A+",1099.99,A+,0,0.44
112,"Frigider cu o usa Heinner HF-100NHSA+, 93 l, Clasa A+, H 85 cm, Argintiu",648.99,A+,7,0.44
113,"Frigider incorporabil, doua usi, Crown CBR-250 BI, A+, 250 l, H 177 cm",1799.9,lipsa,0,0.44
114,"Pachet Frigider cu doua usi Arctic AD60290+, 278 l, Clasa A+, H 162, Alb si Set 7 caserole alimente cu capac Vanora, patrate, plastic",1049.98,A+,1,0.44
115,"Frigider Albatros FA28+, 212 l, Clasa A+, H 143 cm, 3 Ani garantie, Alb",779.99,A+,34,0.44
116,"Frigider cu o usa incorporabil Bosch KIR21AF30, 144 l, Clasa A++, Control Touch, FreshSense, H 88 cm",2299.99,A++,0,0.44
117,"Frigider cu o usa incorporabil Bosch KIR41AF30, 211 l, Clasa A++, Control Touch, FresSense, H 122.5 cm",2589.99,A++,0,0.44
118,"Mini frigider portabil, SOGO, 58W, capacitate 15l, adaptor priza auto 12V, functie incalzire, indicator LED,rosu",499.9,lipsa,0,0.44
119,"Combina frigorifica Teka RMF 77920 SS, Free Standing, 4 usi, No frost, 445 l, A++, inox",6999.0,lipsa,0,0.44
120,"Frigider cu o usa Heinner HF-N91SA+, 91 l, Clasa A+, Iluminare LED, H 84.2 cm, Silver",548.99,A+,0,0.16
121,"Frigider cu o usa VORTEX VO1001 A+ Termostat, reglabil, Alb",728.99,lipsa,0,0.16
122,"Frigider Albatros FA28++, 212 l, Clasa A++, H 143 cm, Alb",799.99,A++,2,0.16
123,"Frigider cu o usa Candy CCOLS 5144WH, 250 l, Clasa A++, H 143 cm, Alb",999.99,A++,0,0.16
124,"Frigider cu o usa Liebherr Confort K 3130, 297 l, Clasa A++, Iluminare LED, H 144.7 cm, Alb",1849.99,A++,0,0.16
125,"Frigider minibar Heinner HMB-47NHSA+, 47 l, Clasa A+, H 51 cm, Argintiu",399.0,A+,2,0.16
126,"Frigider cu doua usi Hansa FD 221.4, 208 l, Clasa A+, Control mecanic, H 143 cm, Alb",869.99,A+,1,0.16
127,Pachet Minibar Samus SW060A+ si Cafetiera Samus Fantasy,435.18,lipsa,0,0.16
128,"Frigider incorporabil Electrolux ERN1200FOW, 114 l, Clasa A+, H 82 cm",1299.99,A+,2,0.16
129,"Frigider cu o usa Midea HS-121LNS, A+, 93 litri, Silver",599.99,lipsa,0,0.16
130,"Combina Frigorifica Hotpoint, Cu Doua Usi, Cezo-XH8 T2I W",1941.99,lipsa,0,0.16
131,"Frigider practic , cu congelator , clasa A+ , cu 1 usa , + 3 ani garantie",535.0,A+,0,0.16
132,"Frigider cu o usa Midea HS-121LN, A+, 93 litri, Alb",599.99,lipsa,1,0.16
133,"Frigider cu o usa incororabil Bosch KIR81AF30, 319 l, Clasa A++, Control Touch, FreshSense, H 177 cm",3599.99,A++,0,0.16
134,"Frigider minibar Daewoo FN-063, 45 l, Clasa A+, H 51.1, Alb",549.99,A+,0,0.16
135,"Frigider cu 2 usi Liebherr CBNPes 4858, Premium BioFresh NoFrost, clasa A+++, capacitate 344 l, otel inoxidabil",10098.99,A+++,1,0.16
136,"Frigider cu o usa Zanussi ZRG15805WA, 136 l, Clasa A+, H 85 cm, Alb",899.99,A+,0,0.16
137,"Frigider cu 1 usa Retro Exquisit RKS 325-16, 229 l, Clasa A++, H 144, Crem",1500.0,A++,1,0.16
138,"Frigider Sharp SJXP700GSL, 578 l, Clasa A++, Ioni Plasmacluster, J-Tech Inverter, H 185 cm, Argintiu Sticla",4799.0,A++,1,0.16
139,"Frigider minibar Heinner HMB-47NHBKA+, 47 l, Clasa A+, H 51 cm, Negru",439.98,A+,13,0.16
140,"Frigider cu doua usi Candy Divo CVRDS 6174WH, 304 l, Iluminare LED, Ventilator, Clasa A++, H 175 cm, Avena",2699.99,A++,0,0.16
141,"Frigider cu doua usi Liebherr CTel 2531, 233 l, SmartFrost, VarioSpace, Clasa A++, H 140.1 cm, Inox",1449.99,A++,0,0.16
142,"Combina frigorifica Teka RFD 77820 GBK, Free Standing, 4 usi, No frost, 335 l, A++, Cristal Black",6999.0,lipsa,0,0.16
143,"Frigider Indesit TIAA12, 309 l, Clasa A+, H 175 cm, Alb",1299.99,A+,26,0.16
144,Pachet Frigider Albatros FA28+ si Cuptor electric Albatros A18B2,888.78,lipsa,0,0.16
145,"Frigider cu 1 usa Retro, Exquisit RKS 325-16, 229 l, Clasa A++, H 144, Negru",1499.99,A++,1,0.16
146,"Frigider cu doua usi Samus SW280A+, 212 l, Clasa A+, H 143 cm, Alb",779.99,A+,7,0.16
147,"Frigider cu o usa Bosch KSV36BI3P, 348 l, Clasa A++, FreshSense, Iluminare LED, H 186 cm, Inox",3699.99,A++,0,0.16
148,"Frigider cu 2 usi CANDY CDD 2145 E, 204 l, 143 cm, A+, alb",799.99,lipsa,0,0.16
149,"Frigider cu o usa Heinner HF-N91SA+, 91 l, Clasa A+, Iluminare LED, H 84.2 cm, Argintiu",549.98,A+,0,0.16
150,"Frigider cu doua usi LG, 312 l, Full Nofrost, Iluminare LED, Silver - GTB523PZCZD",2018.44,lipsa,5,0.16
151,"Minibar Studio Casa, SC-MB 645 A+, 48 l, Clasa A+",399.0,A+,0,0.16
152,"Frigider cu doua usi Candy Divo CVRDS 6174RH, 304 l, Iluminare LED, Ventilator, Clasa A++, H 175 cm, Rosu",2799.99,A++,0,0.16
153,"Frigider cu 1 usa Retro, Exquisit RKS 325-16, 229 l, Clasa A++, H 144, Rosu",1499.99,A++,1,0.16
154,"Frigider Minibar 46L, Clasa A+, MF46W",389.0,A+,1,0.16
155,"Frigider Albatros FA20+, 155l, Clasa A+, H 123 cm, 3 Ani garantie, Alb",819.99,A+,13,0.16
156,"Frigider cu o usa incorporabil Bosch KIL52AF30, 228 l, Clasa A++, H 140 cm",2779.99,A++,0,0.16
157,Pachet Frigider Albatros FA11+ si Aspirator Albatros Sticky 80 Eco,667.76,lipsa,0,0.16
158,Pachet Frigider Albatros FA20+ si Cuptor electric Albatros A18B2,927.18,lipsa,1,0.16
159,"Frigider Candy CSSM 6182W, 287 l, A+, Alb",1370.0,A+,0,0.16
160,"Frigider 1 usa 88L, clasa A+, Finlux GN1001",599.0,A+,0,0.16
161,"Frigider incorporabil MIELE K 37472 iD, 60 cm",9750.0,lipsa,0,0.16
162,Pachet Frigider Samus SW540NFA+ + Cuptor incorporabil Samus SC622G5 + Plita incorporabila Samus PSG-64SG3 White,2775.82,lipsa,0,0.16
163,"Racitor cu o usa Exquisit KS 85-9 RVA+, Clasa A+, 82L, H 84.5 cm, Negru/Inox",649.0,A+,0,0.16
164,"Frigider cu 1 usa Finlux GN1001A+, 88L",539.0,lipsa,1,0.16
165,"Frigider cu doua usi Heinner HF-H212A+, 212 l, Clasa A+, H 143 cm, Alb",849.99,A+,70,0.16
166,"Frigider cu o usa Heinner HF-250A+, 250 l, Clasa A+, H 144 cm, Alb",929.99,A+,17,0.16
167,"Combina frigorifica, Smeg, rosu, FAB28RRD3",6781.1,lipsa,0,0.16
168,"Frigider incorporabil Neff KI1413D40, 211 l, Clasa A+++, FreshSense, Touchcontrol, H 122 cm",4099.99,A+++,0,0.16
169,"Frigider cu doua usi Studio Casa, DD400A+, 400 l, Latime 70 cm, Clasa energetica A+, H 173 cm, Usi reversibile, Alb",1399.9,A+,0,0.16
170,"Frigider cu o usa Crown GN 265, fara congelator, 250 litri, Clasa A+, alb",1049.98,A+,0,0.16
171,"Frigider cu doua usi Liebherr CT 2131, 196 l, Clasa A++, SmartFrost, H 124.1 cm, Alb",1349.99,A++,0,0.16
172,"Frigider cu o usa incorporabil Bosch KUL15A65, 123 l, Clasa A++, H 82 cm",2259.99,A++,0,0.16
173,"Frigider cu doua usi LDK LF 260, Clasa A+, Capacitate 276 L, H 159 cm, 5 ani garantie, Alb",849.0,A+,6,0.16
174,"Frigider Liebherr KBbs 4350, Clasa A+++, BioFresh, Capacitate 367 l, Otel Negru",8499.0,A+++,0,0.16
175,"Pachet Frigider cu doua usi Beko RDSA290M20XP, 278 l, Clasa A+, H 162 cm, Inox + Set 5 Boluri Sticla Heinner + Capace",1596.9,A+,0,0.16
176,"Frigider Samus SW540NFA+, Full No Frost, 425 l, Clasa A+, Alb",1649.98,A+,0,0.16
177,"Frigider Samus SW280A++, 212 l, Clasa A++, Alb",799.99,A++,0,0.16
178,"Frigider cu 2 usi Retro, Exquisit, RKGC270/45-16, 208 l, Clasa A++, H 144, Negru",1789.0,A++,0,0.16
179,"Frigider Heinner HF-V401NFXA+, 380 l, Clasa A+, No Frost, Control electronic, Iluminare LED, H 186 cm, Argintiu",1799.99,A+,1,0.16
180,"Frigider Albatros FA23+, 182 l, Clasa A+, Alb",819.99,A+,0,0.2
181,"Frigider cu o usa Candy CVRO 6174WH, 311 l, Iluminare LED, Ventilator, Clasa A++, Avena",2499.99,A++,0,0.2
182,"Frigider cu o usa Liebherr Premium KBes 4350, 367 l, Clasa A+++, Display Touch, BluPerformance, SmartDevice, SoftSystem, H 185 cm, Inox",7999.0,A+++,0,0.2
183,"Frigider Zanussi ZRA33103WA, 314 l, Clasa A+, H 154, Alb",1499.0,A+,0,0.2
184,"Frigider Samus SX340A+, Clasa A+, 252 l, Inox",1049.98,A+,0,0.2
185,Frigider cu 2 usi Whirlpool ARC2353W,1199.99,lipsa,0,0.2
186,"Frigider cu 1 usa Retro Exquisit, RKS130-11A++, Capacitate 121l, Clasa A++, H 97.8 cm, Verde",1099.0,A++,0,0.2
187,"Combina frigorifica Pyramis FSK196 Black Glass, total NO FROST, display LED cu Touch Control, iluminare LED, clasa A+, capacitate totala 317 lt",2899.99,A+,0,0.2
188,"Frigider cu doua usi NEO BCG-260 DA+, clasa A+, 205 l, dozator apa, H 143 cm",1149.99,A+,0,0.2
189,Pachet Frigider Albatros FA11+ si Cuptor electric Albatros A18B2,672.75,lipsa,0,0.2
190,"Frigider Racitor pentru Vin, Capacitate 12 Sticle sau 33L, Iluminare Interioara",682.88,lipsa,2,0.2
191,"Frigider minibar Crown CM-49B, capacitate 46l, clasa A+, H 51 cm, negru",499.9,A+,0,0.2
192,Pachet Frigider Albatros FA28+ si Multiblender Albatros MR601A,888.78,lipsa,0,0.2
